/Users/cuing/Desktop/pytorch-cifar100/.venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Using device: mps
Training Epoch: 1 [128/50000]	Loss: 4.6003	LR: 0.000000
Training Epoch: 1 [256/50000]	Loss: 4.6572	LR: 0.000256
Training Epoch: 1 [384/50000]	Loss: 4.6220	LR: 0.000512
Training Epoch: 1 [512/50000]	Loss: 4.6186	LR: 0.000767
Training Epoch: 1 [640/50000]	Loss: 4.6421	LR: 0.001023
Training Epoch: 1 [768/50000]	Loss: 4.6588	LR: 0.001279
Training Epoch: 1 [896/50000]	Loss: 4.6293	LR: 0.001535
Training Epoch: 1 [1024/50000]	Loss: 4.6745	LR: 0.001790
Training Epoch: 1 [1152/50000]	Loss: 4.6181	LR: 0.002046
Training Epoch: 1 [1280/50000]	Loss: 4.6012	LR: 0.002302
Training Epoch: 1 [1408/50000]	Loss: 4.6049	LR: 0.002558
Training Epoch: 1 [1536/50000]	Loss: 4.6568	LR: 0.002813
Training Epoch: 1 [1664/50000]	Loss: 4.5883	LR: 0.003069
Training Epoch: 1 [1792/50000]	Loss: 4.6244	LR: 0.003325
Training Epoch: 1 [1920/50000]	Loss: 4.6150	LR: 0.003581
Training Epoch: 1 [2048/50000]	Loss: 4.6142	LR: 0.003836
Training Epoch: 1 [2176/50000]	Loss: 4.6056	LR: 0.004092
Training Epoch: 1 [2304/50000]	Loss: 4.6440	LR: 0.004348
Training Epoch: 1 [2432/50000]	Loss: 4.6630	LR: 0.004604
Training Epoch: 1 [2560/50000]	Loss: 4.6348	LR: 0.004859
Training Epoch: 1 [2688/50000]	Loss: 4.5998	LR: 0.005115
Training Epoch: 1 [2816/50000]	Loss: 4.6416	LR: 0.005371
Training Epoch: 1 [2944/50000]	Loss: 4.6530	LR: 0.005627
Training Epoch: 1 [3072/50000]	Loss: 4.6053	LR: 0.005882
Training Epoch: 1 [3200/50000]	Loss: 4.5842	LR: 0.006138
Training Epoch: 1 [3328/50000]	Loss: 4.5857	LR: 0.006394
Training Epoch: 1 [3456/50000]	Loss: 4.5697	LR: 0.006650
Training Epoch: 1 [3584/50000]	Loss: 4.6082	LR: 0.006905
Training Epoch: 1 [3712/50000]	Loss: 4.6168	LR: 0.007161
Training Epoch: 1 [3840/50000]	Loss: 4.5428	LR: 0.007417
Training Epoch: 1 [3968/50000]	Loss: 4.5767	LR: 0.007673
Training Epoch: 1 [4096/50000]	Loss: 4.6418	LR: 0.007928
Training Epoch: 1 [4224/50000]	Loss: 4.6517	LR: 0.008184
Training Epoch: 1 [4352/50000]	Loss: 4.5796	LR: 0.008440
Training Epoch: 1 [4480/50000]	Loss: 4.6493	LR: 0.008696
Training Epoch: 1 [4608/50000]	Loss: 4.6245	LR: 0.008951
Training Epoch: 1 [4736/50000]	Loss: 4.5831	LR: 0.009207
Training Epoch: 1 [4864/50000]	Loss: 4.6358	LR: 0.009463
Training Epoch: 1 [4992/50000]	Loss: 4.5592	LR: 0.009719
Training Epoch: 1 [5120/50000]	Loss: 4.5539	LR: 0.009974
Training Epoch: 1 [5248/50000]	Loss: 4.5954	LR: 0.010230
Training Epoch: 1 [5376/50000]	Loss: 4.5429	LR: 0.010486
Training Epoch: 1 [5504/50000]	Loss: 4.5342	LR: 0.010742
Training Epoch: 1 [5632/50000]	Loss: 4.6461	LR: 0.010997
Training Epoch: 1 [5760/50000]	Loss: 4.5854	LR: 0.011253
Training Epoch: 1 [5888/50000]	Loss: 4.5730	LR: 0.011509
Training Epoch: 1 [6016/50000]	Loss: 4.5783	LR: 0.011765
Training Epoch: 1 [6144/50000]	Loss: 4.5187	LR: 0.012020
Training Epoch: 1 [6272/50000]	Loss: 4.5456	LR: 0.012276
Training Epoch: 1 [6400/50000]	Loss: 4.5411	LR: 0.012532
Training Epoch: 1 [6528/50000]	Loss: 4.5117	LR: 0.012788
Training Epoch: 1 [6656/50000]	Loss: 4.5983	LR: 0.013043
Training Epoch: 1 [6784/50000]	Loss: 4.5616	LR: 0.013299
Training Epoch: 1 [6912/50000]	Loss: 4.4756	LR: 0.013555
Training Epoch: 1 [7040/50000]	Loss: 4.4861	LR: 0.013811
Training Epoch: 1 [7168/50000]	Loss: 4.5441	LR: 0.014066
Training Epoch: 1 [7296/50000]	Loss: 4.5794	LR: 0.014322
Training Epoch: 1 [7424/50000]	Loss: 4.6078	LR: 0.014578
Training Epoch: 1 [7552/50000]	Loss: 4.6273	LR: 0.014834
Training Epoch: 1 [7680/50000]	Loss: 4.5718	LR: 0.015090
Training Epoch: 1 [7808/50000]	Loss: 4.6716	LR: 0.015345
Training Epoch: 1 [7936/50000]	Loss: 4.5391	LR: 0.015601
Training Epoch: 1 [8064/50000]	Loss: 4.5804	LR: 0.015857
Training Epoch: 1 [8192/50000]	Loss: 4.4615	LR: 0.016113
Training Epoch: 1 [8320/50000]	Loss: 4.4485	LR: 0.016368
Training Epoch: 1 [8448/50000]	Loss: 4.4993	LR: 0.016624
Training Epoch: 1 [8576/50000]	Loss: 4.4788	LR: 0.016880
Training Epoch: 1 [8704/50000]	Loss: 4.4282	LR: 0.017136
Training Epoch: 1 [8832/50000]	Loss: 4.5645	LR: 0.017391
Training Epoch: 1 [8960/50000]	Loss: 4.5025	LR: 0.017647
Training Epoch: 1 [9088/50000]	Loss: 4.5661	LR: 0.017903
Training Epoch: 1 [9216/50000]	Loss: 4.4764	LR: 0.018159
Training Epoch: 1 [9344/50000]	Loss: 4.5018	LR: 0.018414
Training Epoch: 1 [9472/50000]	Loss: 4.5989	LR: 0.018670
Training Epoch: 1 [9600/50000]	Loss: 4.4586	LR: 0.018926
Training Epoch: 1 [9728/50000]	Loss: 4.5268	LR: 0.019182
Training Epoch: 1 [9856/50000]	Loss: 4.4956	LR: 0.019437
Training Epoch: 1 [9984/50000]	Loss: 4.5599	LR: 0.019693
Training Epoch: 1 [10112/50000]	Loss: 4.5005	LR: 0.019949
Training Epoch: 1 [10240/50000]	Loss: 4.5473	LR: 0.020205
Training Epoch: 1 [10368/50000]	Loss: 4.4298	LR: 0.020460
Training Epoch: 1 [10496/50000]	Loss: 4.5508	LR: 0.020716
Training Epoch: 1 [10624/50000]	Loss: 4.4497	LR: 0.020972
Training Epoch: 1 [10752/50000]	Loss: 4.5276	LR: 0.021228
Training Epoch: 1 [10880/50000]	Loss: 4.4987	LR: 0.021483
Training Epoch: 1 [11008/50000]	Loss: 4.4568	LR: 0.021739
Training Epoch: 1 [11136/50000]	Loss: 4.4274	LR: 0.021995
Training Epoch: 1 [11264/50000]	Loss: 4.4395	LR: 0.022251
Training Epoch: 1 [11392/50000]	Loss: 4.5213	LR: 0.022506
Training Epoch: 1 [11520/50000]	Loss: 4.5321	LR: 0.022762
Training Epoch: 1 [11648/50000]	Loss: 4.3778	LR: 0.023018
